Site,Latitude,Longitude
B1,39.90696000000001,-105.87789
B2,39.907019999999996,-105.87905
BB_1,43.73154,-116.13968
BB_2,43.73302,-116.1227
BB_3,43.73636,-116.12089999999998
BB_4,43.73747000000001,-116.12167
BB_5,43.76006,-116.10379
BB_6,43.75716999999999,-116.09092000000004
BB_7,43.757290000000005,-116.09080999999999
Brooklyns,37.85724,-107.72503000000003
Cameron Peak,40.5639,-105.86729999999997
Crux,37.901830000000004,-107.71986999999999
FS1,39.92084,-105.87384000000002
FS14,39.92616,-105.86673
FS15,39.92794,-105.8646
FS16,39.92742,-105.86334
FS17,39.92627,-105.86912
FS2,39.92416,-105.87312
FS3,39.92577,-105.87337
FS4,39.9296,-105.8734
FS5,39.92933,-105.87081
FS6,39.92845,-105.8685
FS7,39.92512,-105.86994
FS8,39.92474,-105.86826
FS9,39.9235,-105.87027
JF,39.905660000000005,-105.88303999999995
JS,39.905660000000005,-105.88304999999997
LR_1,44.07249000000001,-115.51688
LR_2,44.13563,-115.31426000000002
LR_3,44.198660000000004,-115.24868999999998
LR_4,44.23075,-115.21862
LR_5,44.303440000000016,-115.23460999999999
LR_6,44.30309,-115.23465
LR_7,44.29675,-115.23960999999998
LR_8,44.29088000000001,-115.24397000000002
LR_9,44.2833,-115.24156
MC_1,43.93207999999999,-115.66576
MC_2,43.94678,-115.66839999999999
MC_3,43.94743,-115.67196
MC_4,43.94786,-115.6748
MC_5,43.94736999999999,-115.67679000000001
MC_6,43.948539999999994,-115.67827999999999
MC_7,43.952580000000005,-115.67997000000001
MC_8,43.952490000000004,-115.68174000000002
MC_9,43.9549,-115.68157999999997
Meadow,37.90098999999999,-107.71702000000002
Michigan River,40.5186,-105.8916
Silverton,37.81432999999999,-107.66500999999997
Swamp Angel,37.90715,-107.71119000000002
